,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,10.3045,20.5130859375,15.255664179687502,15.255691295901443,0.0,515.0,485.0,0.0,0.0
1,1.0,18.778,15.67734375,18.2508884375,16.60761440596958,0.0,830.0,170.0,0.0,0.0
2,2.0,16.91968,16.218375,16.75978246,14.743001341381644,0.0,772.0,228.0,0.0,0.0
3,3.0,15.45458,16.7983359375,15.826800394687499,13.377665015929194,0.0,723.0,277.0,0.0,0.0
4,4.0,14.744079999999999,17.13759375,15.4669211525,12.907253829334321,0.0,698.0,302.0,0.0,0.0
5,5.0,13.8445,17.6302734375,15.112734101562502,12.438652820695308,0.0,665.0,335.0,0.0,0.0
6,6.0,13.951220000000001,17.5678359375,15.1483198753125,12.661113920936465,0.0,669.0,331.0,0.0,0.0
7,7.0,14.248000000000001,17.4,15.25664,12.583136573590853,0.0,680.0,320.0,0.0,0.0
8,8.0,13.606720000000001,17.7735,15.04009232,12.27786736550977,0.0,656.0,344.0,0.0,0.0
9,9.0,14.248000000000001,17.4,15.25664,12.58304417419373,0.0,680.0,320.0,0.0,0.0
10,10.0,13.52818,17.8220859375,15.018165360312501,12.292175480749494,0.0,653.0,347.0,0.0,0.0
11,11.0,13.712000000000002,17.709375,15.071107500000002,12.402904078113554,0.0,660.0,340.0,0.0,0.0
12,12.0,13.81792,17.646,15.104154880000001,12.399530995912096,0.0,664.0,336.0,0.0,0.0
13,13.0,13.8445,17.6302734375,15.112734101562502,12.329281492643895,0.0,665.0,335.0,0.0,0.0
14,14.0,13.502080000000001,17.838375,15.011110660000002,12.136070732315265,0.0,652.0,348.0,0.0,0.0
15,15.0,13.81792,17.646,15.104154880000001,12.617116371361327,0.0,664.0,336.0,0.0,0.0
16,16.0,13.294720000000002,17.970375,14.959253180000003,12.120500088422604,0.0,644.0,356.0,0.0,0.0
17,17.0,14.302480000000003,17.37009375,15.2779811725,12.55255651520427,0.0,682.0,318.0,0.0,0.0
18,18.0,12.862580000000001,18.2608359375,14.876129464687502,11.985419268785678,0.0,627.0,373.0,0.0,0.0
19,19.0,14.660499999999999,17.1802734375,15.4290308984375,12.897848596074844,0.0,695.0,305.0,0.0,0.0
20,20.0,12.63848,18.42009375,14.8470564525,11.936582897242547,0.0,618.0,382.0,0.0,0.0
21,21.0,14.549619999999999,17.2378359375,15.3802787246875,12.687434429132335,0.0,691.0,309.0,0.0,0.0
22,22.0,13.192,18.0375,14.936380000000002,12.077446780363681,0.0,640.0,360.0,0.0,0.0
23,23.0,13.897780000000001,17.5989609375,15.1302732521875,12.268522004833123,0.0,667.0,333.0,0.0,0.0
24,24.0,13.42402,17.8875234375,14.990709706562502,12.15367199408393,0.0,649.0,351.0,0.0,0.0
25,25.0,14.00482,17.5368984375,15.166873805937499,12.317049957856478,0.0,671.0,329.0,0.0,0.0
26,26.0,13.39808,17.904,14.98416384,12.186087725442402,0.0,648.0,352.0,0.0,0.0
27,27.0,13.606720000000001,17.7735,15.04009232,12.182029857866361,0.0,656.0,344.0,0.0,0.0
28,28.0,13.632980000000002,17.7573984375,15.0476555240625,12.162247690955834,0.0,657.0,343.0,0.0,0.0
29,29.0,13.81792,17.646,15.104154880000001,12.344191936951658,0.0,664.0,336.0,0.0,0.0
30,30.0,13.68562,17.7253359375,15.0631631346875,12.198471505177482,0.0,659.0,341.0,0.0,0.0
31,31.0,13.47602,17.854710937500002,15.004183137187502,12.235471935888487,0.0,651.0,349.0,0.0,0.0
32,32.0,13.897780000000001,17.5989609375,15.1302732521875,12.364994181221405,0.0,667.0,333.0,0.0,0.0
33,33.0,13.68562,17.7253359375,15.0631631346875,12.337919755946087,0.0,659.0,341.0,0.0,0.0
34,34.0,13.65928,17.74134375,15.0553458025,12.17348093622385,0.0,658.0,342.0,0.0,0.0
