,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,9.74338,21.1680234375,15.6042220834375,19.892742870440305,0.0,487.0,513.0,0.0,0.0
1,1.0,19.17928,15.58509375,18.611398572499997,19.452310437373974,0.0,842.0,158.0,0.0,0.0
2,2.0,16.91968,16.218375,16.75978246,17.192710437373975,0.0,772.0,228.0,0.0,0.0
3,3.0,15.657999999999998,16.70859375,15.941660312499998,15.931030437373972,0.0,730.0,270.0,0.0,0.0
4,4.0,15.224499999999999,16.9037109375,15.7030751171875,15.628430370440304,0.0,715.0,285.0,0.0,0.0
5,5.0,14.411920000000002,17.31084375,15.322182057500003,14.684950437373976,0.0,686.0,314.0,0.0,0.0
6,6.0,14.439380000000002,17.2961484375,15.333548520937502,14.712410437373975,0.0,687.0,313.0,0.0,0.0
7,7.0,13.81792,17.646,15.104154880000001,14.090950437373975,0.0,664.0,336.0,0.0,0.0
8,8.0,14.494419999999998,17.2668984375,15.356660794062497,14.767450437373972,0.0,689.0,311.0,0.0,0.0
9,9.0,13.8445,17.6302734375,15.112734101562502,14.117530437373974,0.0,665.0,335.0,0.0,0.0
10,10.0,13.951220000000001,17.5678359375,15.1483198753125,14.224250437373975,0.0,669.0,331.0,0.0,0.0
11,11.0,13.951220000000001,17.5678359375,15.1483198753125,14.224250437373975,0.0,669.0,331.0,0.0,0.0
12,12.0,13.897780000000001,17.5989609375,15.1302732521875,14.170810437373975,0.0,667.0,333.0,0.0,0.0
13,13.0,14.19368,17.43009375,15.2358052275,14.466710437373974,0.0,678.0,322.0,0.0,0.0
14,14.0,13.21762,18.0206484375,14.941907209062501,13.490650437373974,0.0,641.0,359.0,0.0,0.0
15,15.0,14.96872,17.02584375,15.5735143825,15.241750437373973,0.0,706.0,294.0,0.0,0.0
16,16.0,12.862580000000001,18.2608359375,14.876129464687502,13.135610437373975,0.0,627.0,373.0,0.0,0.0
17,17.0,14.248000000000001,17.4,15.25664,14.521030437373975,0.0,680.0,320.0,0.0,0.0
18,18.0,13.192,18.0375,14.936380000000002,13.465030437373974,0.0,640.0,360.0,0.0,0.0
19,19.0,14.577279999999998,17.223375,15.392277259999998,14.850310437373972,0.0,692.0,308.0,0.0,0.0
20,20.0,13.37218,17.920523437499998,14.9777452334375,13.645210437373974,0.0,647.0,353.0,0.0,0.0
21,21.0,14.031680000000001,17.5215,15.176340960000001,14.304710437373975,0.0,672.0,328.0,0.0,0.0
22,22.0,13.738420000000001,17.6934609375,15.0791788778125,14.011450437373975,0.0,661.0,339.0,0.0,0.0
23,23.0,13.738420000000001,17.6934609375,15.0791788778125,14.011450437373975,0.0,661.0,339.0,0.0,0.0
24,24.0,13.76488,17.67759375,15.0873772475,14.037910437373974,0.0,662.0,338.0,0.0,0.0
25,25.0,13.978000000000002,17.55234375,15.157533437499998,14.251030437373975,0.0,670.0,330.0,0.0,0.0
26,26.0,13.79138,17.6617734375,15.0957025884375,14.064410437373974,0.0,663.0,337.0,0.0,0.0
27,27.0,13.79138,17.6617734375,15.0957025884375,14.064410437373974,0.0,663.0,337.0,0.0,0.0
28,28.0,13.5805,17.7896484375,15.032656210937501,16.514367870440303,0.0,655.0,345.0,0.0,0.0
29,29.0,13.978000000000002,17.55234375,15.157533437499998,14.251030437373975,0.0,670.0,330.0,0.0,0.0
30,30.0,13.79138,17.6617734375,15.0957025884375,14.064410437373974,0.0,663.0,337.0,0.0,0.0
31,31.0,13.68562,17.7253359375,15.0631631346875,13.958650437373974,0.0,659.0,341.0,0.0,0.0
32,32.0,13.871120000000001,17.61459375,15.121440232500001,14.144150437373975,0.0,666.0,334.0,0.0,0.0
33,33.0,13.47602,17.854710937500002,15.004183137187502,13.749050437373974,0.0,651.0,349.0,0.0,0.0
34,34.0,13.871120000000001,17.61459375,15.121440232500001,14.144150437373975,0.0,666.0,334.0,0.0,0.0
35,35.0,13.897780000000001,17.5989609375,15.1302732521875,14.170810437373975,0.0,667.0,333.0,0.0,0.0
36,36.0,13.738420000000001,17.6934609375,15.0791788778125,14.011450437373975,0.0,661.0,339.0,0.0,0.0
37,37.0,13.738420000000001,17.6934609375,15.0791788778125,14.011450437373975,0.0,661.0,339.0,0.0,0.0
38,38.0,13.871120000000001,17.61459375,15.121440232500001,14.144150437373975,0.0,666.0,334.0,0.0,0.0
39,39.0,13.68562,17.7253359375,15.0631631346875,13.958650437373974,0.0,659.0,341.0,0.0,0.0
40,40.0,13.951220000000001,17.5678359375,15.1483198753125,14.224250437373975,0.0,669.0,331.0,0.0,0.0
41,41.0,14.139520000000001,17.460375,15.21547702,14.412550437373975,0.0,676.0,324.0,0.0,0.0
42,42.0,13.26898,17.987085937499998,14.9533438196875,13.542010437373975,0.0,643.0,357.0,0.0,0.0
43,43.0,13.76488,17.67759375,15.0873772475,14.037910437373974,0.0,662.0,338.0,0.0,0.0
44,44.0,13.5805,17.7896484375,15.032656210937501,13.853530437373974,0.0,655.0,345.0,0.0,0.0
45,45.0,13.8445,17.6302734375,15.112734101562502,16.354992870440306,0.0,665.0,335.0,0.0,0.0
46,46.0,13.81792,17.646,15.104154880000001,14.090950437373975,0.0,664.0,336.0,0.0,0.0
47,47.0,13.92448,17.583375,15.13923314,14.197510437373975,0.0,668.0,332.0,0.0,0.0
48,48.0,13.712000000000002,17.709375,15.071107500000002,13.985030437373975,0.0,660.0,340.0,0.0,0.0
49,49.0,13.47602,17.854710937500002,15.004183137187502,13.749050437373974,0.0,651.0,349.0,0.0,0.0
50,50.0,13.92448,17.583375,15.13923314,14.197510437373975,0.0,668.0,332.0,0.0,0.0
51,51.0,13.65928,17.74134375,15.0553458025,13.932310437373975,0.0,658.0,342.0,0.0,0.0
52,52.0,14.031680000000001,17.5215,15.176340960000001,14.304710437373975,0.0,672.0,328.0,0.0,0.0
53,53.0,14.031680000000001,17.5215,15.176340960000001,14.304710437373975,0.0,672.0,328.0,0.0,0.0
54,54.0,13.632980000000002,17.7573984375,15.0476555240625,13.906010437373975,0.0,657.0,343.0,0.0,0.0
55,55.0,13.92448,17.583375,15.13923314,14.197510437373975,0.0,668.0,332.0,0.0,0.0
56,56.0,13.712000000000002,17.709375,15.071107500000002,13.985030437373975,0.0,660.0,340.0,0.0,0.0
