,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,9.88072,21.00084375,15.5075026175,-1.0,0.0,494.0,506.0,0.0,0.0
1,1.0,23.164179999999998,15.0517734375,22.782896891562498,-1.0,0.0,953.0,47.0,0.0,0.0
2,2.0,23.547379999999997,15.0320859375,23.232314119687498,-1.0,0.0,963.0,37.0,0.0,0.0
3,3.0,23.012019999999996,15.0609609375,22.606515987812497,-1.0,0.0,949.0,51.0,0.0,0.0
4,4.0,22.89832,15.06834375,22.475501282499998,-1.0,0.0,946.0,54.0,0.0,0.0
5,5.0,11.45248,19.374000000000002,14.87457664,-1.0,0.0,568.0,432.0,0.0,0.0
6,6.0,11.681679999999998,19.17384375,14.843373102499998,-1.0,0.0,578.0,422.0,0.0,0.0
7,7.0,23.012019999999996,15.0609609375,22.606515987812497,-1.0,0.0,949.0,51.0,0.0,0.0
8,8.0,11.00608,19.788375,14.97567734,-1.0,0.0,548.0,452.0,0.0,0.0
9,9.0,12.8125,18.2958984375,14.8687744140625,-1.0,0.0,625.0,375.0,0.0,0.0
10,10.0,13.76488,17.67759375,15.0873772475,-1.0,0.0,662.0,338.0,0.0,0.0
11,11.0,13.55432,17.80584375,15.0253472175,-1.0,0.0,654.0,346.0,0.0,0.0
12,12.0,23.05,15.05859375,22.6504296875,-1.0,0.0,950.0,50.0,0.0,0.0
13,13.0,11.52082,19.3134609375,14.8638629621875,-1.0,0.0,571.0,429.0,0.0,0.0
14,14.0,14.716179999999998,17.1517734375,15.4541648115625,-1.0,0.0,697.0,303.0,0.0,0.0
15,15.0,14.940499999999998,17.0396484375,15.559748789062498,-1.0,0.0,705.0,295.0,0.0,0.0
16,16.0,14.494419999999998,17.2668984375,15.356660794062497,-1.0,0.0,689.0,311.0,0.0,0.0
17,17.0,14.68832,17.166,15.44153472,-1.0,0.0,696.0,304.0,0.0,0.0
18,18.0,14.91232,17.0535,15.546109280000001,-1.0,0.0,704.0,296.0,0.0,0.0
19,19.0,14.828019999999999,17.0953359375,15.5059474653125,-1.0,0.0,701.0,299.0,0.0,0.0
20,20.0,15.138879999999999,16.944,15.658754559999998,-1.0,0.0,712.0,288.0,0.0,0.0
21,21.0,15.16738,16.9305234375,15.6734021665625,-1.0,0.0,713.0,287.0,0.0,0.0
22,22.0,15.54152,16.75959375,15.8752722075,-1.0,0.0,726.0,274.0,0.0,0.0
23,23.0,15.339220000000001,16.8506484375,15.763931390937499,-1.0,0.0,719.0,281.0,0.0,0.0
24,24.0,15.483519999999999,16.785375,15.842831979999998,-1.0,0.0,724.0,276.0,0.0,0.0
25,25.0,15.775120000000001,16.65834375,16.0100575175,-1.0,0.0,734.0,266.0,0.0,0.0
26,26.0,15.224499999999999,16.9037109375,15.7030751171875,-1.0,0.0,715.0,285.0,0.0,0.0
27,27.0,15.39682,16.8243984375,15.7951143840625,-1.0,0.0,721.0,279.0,0.0,0.0
28,28.0,15.082,16.97109375,15.629837187500002,-1.0,0.0,710.0,290.0,0.0,0.0
29,29.0,15.45458,16.7983359375,15.826800394687499,-1.0,0.0,723.0,277.0,0.0,0.0
