,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,10.47058,20.3327109375,15.1748164571875,15.049018664512616,0.0,523.0,477.0,0.0,0.0
1,1.0,18.844479999999997,15.6615,18.30973936,16.64677527201186,0.0,832.0,168.0,0.0,0.0
2,2.0,16.858,16.23984375,16.7158240625,14.531093007840086,0.0,770.0,230.0,0.0,0.0
3,3.0,15.89288,16.60884375,16.080462502499998,13.51334799387384,0.0,738.0,262.0,0.0,0.0
4,4.0,14.604979999999998,17.2089609375,15.404402147812498,12.693482423350822,0.0,693.0,307.0,0.0,0.0
5,5.0,14.1125,17.4755859375,15.2055029296875,12.474195254461558,0.0,675.0,325.0,0.0,0.0
6,6.0,14.220820000000002,17.4150234375,15.246159303437501,12.56983029960454,0.0,679.0,321.0,0.0,0.0
7,7.0,13.978000000000002,17.55234375,15.157533437499998,12.47564969357379,0.0,670.0,330.0,0.0,0.0
8,8.0,13.55432,17.80584375,15.0253472175,12.215648765328343,0.0,654.0,346.0,0.0,0.0
9,9.0,14.357120000000002,17.340375,15.299828580000002,12.575190365105696,0.0,684.0,316.0,0.0,0.0
10,10.0,13.0645,18.1224609375,14.910655742187501,11.920612124395687,0.0,635.0,365.0,0.0,0.0
11,11.0,14.828019999999999,17.0953359375,15.5059474653125,12.852228628440333,0.0,701.0,299.0,0.0,0.0
12,12.0,12.688,18.384375,14.852622499999999,11.781037448521733,0.0,620.0,380.0,0.0,0.0
13,13.0,15.224499999999999,16.9037109375,15.7030751171875,13.159841288950155,0.0,715.0,285.0,0.0,0.0
14,14.0,11.914879999999998,18.978375,14.825039939999998,11.710678976222693,0.0,588.0,412.0,0.0,0.0
15,15.0,14.996979999999999,17.0120859375,15.5874060396875,12.972938791507275,0.0,707.0,293.0,0.0,0.0
16,16.0,13.01378,18.1567734375,14.901258591562502,11.746756449135821,0.0,633.0,367.0,0.0,0.0
17,17.0,14.1125,17.4755859375,15.2055029296875,12.317931249639084,0.0,675.0,325.0,0.0,0.0
18,18.0,13.68562,17.7253359375,15.0631631346875,12.044520320383185,0.0,659.0,341.0,0.0,0.0
19,19.0,13.450000000000001,17.87109375,14.9973828125,11.923805240334012,0.0,650.0,350.0,0.0,0.0
20,20.0,13.8445,17.6302734375,15.112734101562502,12.226362254289338,0.0,665.0,335.0,0.0,0.0
21,21.0,13.39808,17.904,14.98416384,11.95305103694779,0.0,648.0,352.0,0.0,0.0
22,22.0,14.439380000000002,17.2961484375,15.333548520937502,12.503693081039662,0.0,687.0,313.0,0.0,0.0
23,23.0,13.42402,17.8875234375,14.990709706562502,12.07410871230043,0.0,649.0,351.0,0.0,0.0
24,24.0,13.47602,17.854710937500002,15.004183137187502,12.029393745239013,0.0,651.0,349.0,0.0,0.0
25,25.0,13.5805,17.7896484375,15.032656210937501,12.039667182949998,0.0,655.0,345.0,0.0,0.0
26,26.0,13.81792,17.646,15.104154880000001,12.224041798311173,0.0,664.0,336.0,0.0,0.0
27,27.0,13.897780000000001,17.5989609375,15.1302732521875,12.188188533362736,0.0,667.0,333.0,0.0,0.0
28,28.0,13.76488,17.67759375,15.0873772475,12.214448925951364,0.0,662.0,338.0,0.0,0.0
29,29.0,13.81792,17.646,15.104154880000001,12.054331156185873,0.0,664.0,336.0,0.0,0.0
30,30.0,13.11538,18.0883359375,14.920563005312498,11.93615498389938,0.0,637.0,363.0,0.0,0.0
31,31.0,13.738420000000001,17.6934609375,15.0791788778125,12.225471617974929,0.0,661.0,339.0,0.0,0.0
32,32.0,13.502080000000001,17.838375,15.011110660000002,12.243625265711419,0.0,652.0,348.0,0.0,0.0
33,33.0,13.79138,17.6617734375,15.0957025884375,12.151351486310958,0.0,663.0,337.0,0.0,0.0
34,34.0,13.81792,17.646,15.104154880000001,12.115743877185855,0.0,664.0,336.0,0.0,0.0
35,35.0,13.712000000000002,17.709375,15.071107500000002,12.01237371695995,0.0,660.0,340.0,0.0,0.0
36,36.0,13.92448,17.583375,15.13923314,12.178602105360607,0.0,668.0,332.0,0.0,0.0
37,37.0,13.606720000000001,17.7735,15.04009232,12.117993244875752,0.0,656.0,344.0,0.0,0.0
38,38.0,13.65928,17.74134375,15.0553458025,12.118159723791399,0.0,658.0,342.0,0.0,0.0
