,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,10.28392,20.53584375,15.266354942500001,15.139925215666285,0.0,514.0,486.0,0.0,0.0
1,1.0,18.349779999999996,15.7848984375,17.880406674062495,16.241295684816453,0.0,817.0,183.0,0.0,0.0
2,2.0,16.76578,16.2723984375,16.6508220959375,14.550031126060757,0.0,767.0,233.0,0.0,0.0
3,3.0,15.138879999999999,16.944,15.658754559999998,13.288752329788627,0.0,712.0,288.0,0.0,0.0
4,4.0,14.856079999999999,17.08134375,15.519208597499997,12.963162021647433,0.0,702.0,298.0,0.0,0.0
5,5.0,14.031680000000001,17.5215,15.176340960000001,12.358386009969246,0.0,672.0,328.0,0.0,0.0
6,6.0,14.00482,17.5368984375,15.166873805937499,12.418963158247504,0.0,671.0,329.0,0.0,0.0
7,7.0,14.031680000000001,17.5215,15.176340960000001,12.529870266931821,0.0,672.0,328.0,0.0,0.0
8,8.0,13.68562,17.7253359375,15.0631631346875,12.24516474713892,0.0,659.0,341.0,0.0,0.0
9,9.0,13.606720000000001,17.7735,15.04009232,12.381778066395366,0.0,656.0,344.0,0.0,0.0
10,10.0,13.897780000000001,17.5989609375,15.1302732521875,12.444891998139948,0.0,667.0,333.0,0.0,0.0
11,11.0,13.450000000000001,17.87109375,14.9973828125,12.366201919347764,0.0,650.0,350.0,0.0,0.0
12,12.0,14.220820000000002,17.4150234375,15.246159303437501,12.560921482258008,0.0,679.0,321.0,0.0,0.0
13,13.0,12.76258,18.3311484375,14.8619303009375,11.952407180677657,0.0,623.0,377.0,0.0,0.0
14,14.0,14.357120000000002,17.340375,15.299828580000002,12.751585369750691,0.0,684.0,316.0,0.0,0.0
15,15.0,12.589120000000001,18.456,14.84200192,11.958793459866158,0.0,616.0,384.0,0.0,0.0
16,16.0,14.549619999999999,17.2378359375,15.3802787246875,12.759752914520638,0.0,691.0,309.0,0.0,0.0
17,17.0,12.36898,18.6198984375,14.825590945937499,11.865008374527623,0.0,607.0,393.0,0.0,0.0
18,18.0,14.439380000000002,17.2961484375,15.333548520937502,12.713143460750489,0.0,687.0,313.0,0.0,0.0
19,19.0,13.34632,17.93709375,14.971453907499999,12.096818072900339,0.0,646.0,354.0,0.0,0.0
20,20.0,13.16642,18.054398437499998,14.930980215937499,12.268666967165867,0.0,639.0,361.0,0.0,0.0
21,21.0,13.81792,17.646,15.104154880000001,12.345193518699455,0.0,664.0,336.0,0.0,0.0
22,22.0,13.52818,17.8220859375,15.018165360312501,12.27241887526472,0.0,653.0,347.0,0.0,0.0
23,23.0,13.03912,18.13959375,14.905893392499998,12.11627888248199,0.0,634.0,366.0,0.0,0.0
