,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,9.66578,21.2645859375,15.6623626696875,15.33432510403404,0.0,483.0,517.0,0.0,0.0
1,1.0,19.21298,15.577710937500001,18.6422427571875,17.198613960308197,0.0,843.0,157.0,0.0,0.0
2,2.0,17.199220000000004,16.1240859375,16.963765640312502,14.860838335588197,0.0,781.0,219.0,0.0,0.0
3,3.0,15.570579999999998,16.7467734375,15.891680808437497,13.6121028955655,0.0,727.0,273.0,0.0,0.0
4,4.0,14.799999999999999,17.109375,15.4928125,13.000935812790637,0.0,700.0,300.0,0.0,0.0
5,5.0,14.494419999999998,17.2668984375,15.356660794062497,12.902086263552436,0.0,689.0,311.0,0.0,0.0
6,6.0,14.166580000000002,17.4452109375,15.225577792812501,12.84716372602585,0.0,677.0,323.0,0.0,0.0
7,7.0,13.632980000000002,17.7573984375,15.0476555240625,12.390196862902453,0.0,657.0,343.0,0.0,0.0
8,8.0,14.521999999999998,17.25234375,15.368406562499999,12.945833275117357,0.0,690.0,310.0,0.0,0.0
9,9.0,13.606720000000001,17.7735,15.04009232,12.415991500946513,0.0,656.0,344.0,0.0,0.0
10,10.0,14.031680000000001,17.5215,15.176340960000001,12.565107730467886,0.0,672.0,328.0,0.0,0.0
11,11.0,13.712000000000002,17.709375,15.071107500000002,12.486511974658361,0.0,660.0,340.0,0.0,0.0
12,12.0,14.058580000000001,17.5061484375,15.1859348790625,12.655324917695374,0.0,673.0,327.0,0.0,0.0
13,13.0,13.5805,17.7896484375,15.032656210937501,12.369884600115665,0.0,655.0,345.0,0.0,0.0
14,14.0,14.00482,17.5368984375,15.166873805937499,12.589207023437185,0.0,671.0,329.0,0.0,0.0
15,15.0,13.39808,17.904,14.98416384,12.364962014225469,0.0,648.0,352.0,0.0,0.0
16,16.0,14.856079999999999,17.08134375,15.519208597499997,13.020746388223513,0.0,702.0,298.0,0.0,0.0
17,17.0,12.53992,18.49209375,14.8374590675,12.1024522335916,0.0,614.0,386.0,0.0,0.0
18,18.0,14.604979999999998,17.2089609375,15.404402147812498,13.031922111895781,0.0,693.0,307.0,0.0,0.0
19,19.0,13.21762,18.0206484375,14.941907209062501,12.15268977857306,0.0,641.0,359.0,0.0,0.0
20,20.0,13.502080000000001,17.838375,15.011110660000002,12.37693897161114,0.0,652.0,348.0,0.0,0.0
21,21.0,14.248000000000001,17.4,15.25664,12.926817927616305,0.0,680.0,320.0,0.0,0.0
22,22.0,13.68562,17.7253359375,15.0631631346875,12.327939967824115,0.0,659.0,341.0,0.0,0.0
23,23.0,13.450000000000001,17.87109375,14.9973828125,12.266642184746608,0.0,650.0,350.0,0.0,0.0
24,24.0,13.738420000000001,17.6934609375,15.0791788778125,12.551789500931905,0.0,661.0,339.0,0.0,0.0
25,25.0,13.8445,17.6302734375,15.112734101562502,12.493534543468106,0.0,665.0,335.0,0.0,0.0
26,26.0,13.738420000000001,17.6934609375,15.0791788778125,12.488510516981343,0.0,661.0,339.0,0.0,0.0
27,27.0,13.606720000000001,17.7735,15.04009232,12.445105741040573,0.0,656.0,344.0,0.0,0.0
28,28.0,14.166580000000002,17.4452109375,15.225577792812501,12.684505580742789,0.0,677.0,323.0,0.0,0.0
29,29.0,13.5805,17.7896484375,15.032656210937501,12.459056987247989,0.0,655.0,345.0,0.0,0.0
30,30.0,13.738420000000001,17.6934609375,15.0791788778125,12.409326142051556,0.0,661.0,339.0,0.0,0.0
31,31.0,13.81792,17.646,15.104154880000001,12.444572382133748,0.0,664.0,336.0,0.0,0.0
32,32.0,13.81792,17.646,15.104154880000001,12.60533860969216,0.0,664.0,336.0,0.0,0.0
33,33.0,13.34632,17.93709375,14.971453907499999,12.277289651015433,0.0,646.0,354.0,0.0,0.0
34,34.0,13.871120000000001,17.61459375,15.121440232500001,12.46543389240718,0.0,666.0,334.0,0.0,0.0
35,35.0,13.897780000000001,17.5989609375,15.1302732521875,12.452195263220778,0.0,667.0,333.0,0.0,0.0
36,36.0,14.1125,17.4755859375,15.2055029296875,12.659420008372969,0.0,675.0,325.0,0.0,0.0
37,37.0,13.11538,18.0883359375,14.920563005312498,12.3258289951755,0.0,637.0,363.0,0.0,0.0
38,38.0,13.65928,17.74134375,15.0553458025,12.581826245357142,0.0,658.0,342.0,0.0,0.0
39,39.0,13.68562,17.7253359375,15.0631631346875,12.496562408950224,0.0,659.0,341.0,0.0,0.0
40,40.0,13.79138,17.6617734375,15.0957025884375,12.510996721122483,0.0,663.0,337.0,0.0,0.0
41,41.0,13.5805,17.7896484375,15.032656210937501,12.489091857878325,0.0,655.0,345.0,0.0,0.0
42,42.0,13.632980000000002,17.7573984375,15.0476555240625,12.387461096057091,0.0,657.0,343.0,0.0,0.0
43,43.0,13.871120000000001,17.61459375,15.121440232500001,12.571517606865246,0.0,666.0,334.0,0.0,0.0
44,44.0,13.632980000000002,17.7573984375,15.0476555240625,12.445646407730692,0.0,657.0,343.0,0.0,0.0
45,45.0,14.031680000000001,17.5215,15.176340960000001,12.518654153400627,0.0,672.0,328.0,0.0,0.0
46,46.0,13.79138,17.6617734375,15.0957025884375,12.590493354565158,0.0,663.0,337.0,0.0,0.0
