,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,9.92032,20.9535,15.481042719999998,-1.0,0.0,496.0,504.0,0.0,0.0
1,1.0,24.96002,15.0000234375,24.950060003437503,-1.0,0.0,999.0,1.0,0.0,0.0
2,2.0,11.914879999999998,18.978375,14.825039939999998,-1.0,0.0,588.0,412.0,0.0,0.0
3,3.0,17.482000000000003,16.03359375,17.177834687500003,-1.0,0.0,790.0,210.0,0.0,0.0
4,4.0,14.466879999999998,17.2815,15.345041439999997,-1.0,0.0,688.0,312.0,0.0,0.0
5,5.0,15.74578,16.6708359375,15.9927699353125,-1.0,0.0,733.0,267.0,0.0,0.0
6,6.0,16.25,16.46484375,16.3037109375,-1.0,0.0,750.0,250.0,0.0,0.0
7,7.0,14.799999999999999,17.109375,15.4928125,-1.0,0.0,700.0,300.0,0.0,0.0
8,8.0,16.64338,16.3164609375,16.5659001821875,-1.0,0.0,763.0,237.0,0.0,0.0
9,9.0,13.978000000000002,17.55234375,15.157533437499998,-1.0,0.0,670.0,330.0,0.0,0.0
10,10.0,16.521620000000002,16.3612734375,16.4829764784375,-1.0,0.0,759.0,241.0,0.0,0.0
11,11.0,15.25312,16.890375,15.718100419999999,-1.0,0.0,716.0,284.0,0.0,0.0
12,12.0,15.570579999999998,16.7467734375,15.891680808437497,-1.0,0.0,727.0,273.0,0.0,0.0
13,13.0,15.5125,16.7724609375,15.8589892578125,-1.0,0.0,725.0,275.0,0.0,0.0
14,14.0,15.39682,16.8243984375,15.7951143840625,-1.0,0.0,721.0,279.0,0.0,0.0
15,15.0,15.138879999999999,16.944,15.658754559999998,-1.0,0.0,712.0,288.0,0.0,0.0
16,16.0,16.796480000000003,16.261499999999998,16.67236464,-1.0,0.0,768.0,232.0,0.0,0.0
17,17.0,13.65928,17.74134375,15.0553458025,-1.0,0.0,658.0,342.0,0.0,0.0
18,18.0,16.37032,16.41834375,16.3821338425,-1.0,0.0,754.0,246.0,0.0,0.0
19,19.0,14.744079999999999,17.13759375,15.4669211525,-1.0,0.0,698.0,302.0,0.0,0.0
20,20.0,15.89288,16.60884375,16.080462502499998,-1.0,0.0,738.0,262.0,0.0,0.0
21,21.0,15.68722,16.6959609375,15.9585713121875,-1.0,0.0,731.0,269.0,0.0,0.0
22,22.0,14.744079999999999,17.13759375,15.4669211525,-1.0,0.0,698.0,302.0,0.0,0.0
23,23.0,16.95058,16.2077109375,16.7819487228125,-1.0,0.0,773.0,227.0,0.0,0.0
24,24.0,13.712000000000002,17.709375,15.071107500000002,-1.0,0.0,660.0,340.0,0.0,0.0
25,25.0,16.91968,16.218375,16.75978246,-1.0,0.0,772.0,228.0,0.0,0.0
26,26.0,13.8445,17.6302734375,15.112734101562502,-1.0,0.0,665.0,335.0,0.0,0.0
27,27.0,17.513620000000003,16.0237734375,17.202242068437503,-1.0,0.0,791.0,209.0,0.0,0.0
28,28.0,12.63848,18.42009375,14.8470564525,-1.0,0.0,618.0,382.0,0.0,0.0
29,29.0,17.70418,15.9658359375,17.351296155312504,-1.0,0.0,797.0,203.0,0.0,0.0
30,30.0,13.55432,17.80584375,15.0253472175,-1.0,0.0,654.0,346.0,0.0,0.0
31,31.0,16.88882,16.2290859375,16.7377408996875,-1.0,0.0,771.0,229.0,0.0,0.0
32,32.0,14.996979999999999,17.0120859375,15.5874060396875,-1.0,0.0,707.0,293.0,0.0,0.0
33,33.0,15.59968,16.734,15.90821504,-1.0,0.0,728.0,272.0,0.0,0.0
34,34.0,15.025279999999999,16.998375,15.601423739999998,-1.0,0.0,708.0,292.0,0.0,0.0
35,35.0,15.922419999999999,16.5965859375,16.098377309687496,-1.0,0.0,739.0,261.0,0.0,0.0
36,36.0,15.59968,16.734,15.90821504,-1.0,0.0,728.0,272.0,0.0,0.0
37,37.0,15.281779999999998,16.8770859375,15.7332515803125,-1.0,0.0,717.0,283.0,0.0,0.0
38,38.0,15.74578,16.6708359375,15.9927699353125,-1.0,0.0,733.0,267.0,0.0,0.0
39,39.0,15.339220000000001,16.8506484375,15.763931390937499,-1.0,0.0,719.0,281.0,0.0,0.0
40,40.0,15.86338,16.6211484375,16.0626730990625,-1.0,0.0,737.0,263.0,0.0,0.0
41,41.0,14.940499999999998,17.0396484375,15.559748789062498,-1.0,0.0,705.0,295.0,0.0,0.0
42,42.0,16.31008,16.4415,16.34267216,-1.0,0.0,752.0,248.0,0.0,0.0
43,43.0,14.357120000000002,17.340375,15.299828580000002,-1.0,0.0,684.0,316.0,0.0,0.0
44,44.0,15.89288,16.60884375,16.080462502499998,-1.0,0.0,738.0,262.0,0.0,0.0
45,45.0,15.483519999999999,16.785375,15.842831979999998,-1.0,0.0,724.0,276.0,0.0,0.0
46,46.0,15.25312,16.890375,15.718100419999999,-1.0,0.0,716.0,284.0,0.0,0.0
47,47.0,16.1005,16.5240234375,16.2084984765625,-1.0,0.0,745.0,255.0,0.0,0.0
48,48.0,14.384500000000001,17.3255859375,15.310942070312501,-1.0,0.0,685.0,315.0,0.0,0.0
49,49.0,16.4005,16.4068359375,16.402052304687498,-1.0,0.0,755.0,245.0,0.0,0.0
50,50.0,14.716179999999998,17.1517734375,15.4541648115625,-1.0,0.0,697.0,303.0,0.0,0.0
51,51.0,15.922419999999999,16.5965859375,16.098377309687496,-1.0,0.0,739.0,261.0,0.0,0.0
52,52.0,15.45458,16.7983359375,15.826800394687499,-1.0,0.0,723.0,277.0,0.0,0.0
53,53.0,14.91232,17.0535,15.546109280000001,-1.0,0.0,704.0,296.0,0.0,0.0
54,54.0,16.37032,16.41834375,16.3821338425,-1.0,0.0,754.0,246.0,0.0,0.0
55,55.0,14.660499999999999,17.1802734375,15.4290308984375,-1.0,0.0,695.0,305.0,0.0,0.0
56,56.0,15.716479999999999,16.683375,15.97560786,-1.0,0.0,732.0,268.0,0.0,0.0
57,57.0,15.138879999999999,16.944,15.658754559999998,-1.0,0.0,712.0,288.0,0.0,0.0
58,58.0,15.45458,16.7983359375,15.826800394687499,-1.0,0.0,723.0,277.0,0.0,0.0
59,59.0,15.981620000000001,16.5722109375,16.134583052812502,-1.0,0.0,741.0,259.0,0.0,0.0
60,60.0,15.25312,16.890375,15.718100419999999,-1.0,0.0,716.0,284.0,0.0,0.0
61,61.0,15.11042,16.9575234375,15.6442328934375,-1.0,0.0,711.0,289.0,0.0,0.0
62,62.0,16.58242,16.3387734375,16.5241884715625,-1.0,0.0,761.0,239.0,0.0,0.0
63,63.0,13.21762,18.0206484375,14.941907209062501,-1.0,0.0,641.0,359.0,0.0,0.0
64,64.0,18.057280000000002,15.864,17.636170240000002,-1.0,0.0,808.0,192.0,0.0,0.0
65,65.0,12.564499999999999,18.4740234375,14.839666523437499,-1.0,0.0,615.0,385.0,0.0,0.0
66,66.0,17.482000000000003,16.03359375,17.177834687500003,-1.0,0.0,790.0,210.0,0.0,0.0
67,67.0,13.47602,17.854710937500002,15.004183137187502,-1.0,0.0,651.0,349.0,0.0,0.0
68,68.0,17.960500000000003,15.8912109375,17.5569886328125,-1.0,0.0,805.0,195.0,0.0,0.0
69,69.0,13.01378,18.1567734375,14.901258591562502,-1.0,0.0,633.0,367.0,0.0,0.0
70,70.0,17.3245,16.0833984375,17.0576631640625,-1.0,0.0,785.0,215.0,0.0,0.0
