,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,9.900500000000001,20.9771484375,15.494207460937501,-1.0,0.0,495.0,505.0,0.0,0.0
1,1.0,25.0,15.0,25.0,-1.0,0.0,1000.0,0.0,0.0,0.0
2,2.0,25.0,15.0,25.0,-1.0,0.0,1000.0,0.0,0.0,0.0
3,3.0,24.88018,15.0002109375,24.850540092812498,-1.0,0.0,997.0,3.0,0.0,0.0
4,4.0,13.92448,17.583375,15.13923314,-1.0,0.0,668.0,332.0,0.0,0.0
5,5.0,20.6645,15.3099609375,20.0487280078125,-1.0,0.0,885.0,115.0,0.0,0.0
6,6.0,7.75282,24.2728359375,18.1439100246875,-1.0,0.0,371.0,629.0,0.0,0.0
7,7.0,24.96002,15.0000234375,24.950060003437503,-1.0,0.0,999.0,1.0,0.0,0.0
8,8.0,15.89288,16.60884375,16.080462502499998,-1.0,0.0,738.0,262.0,0.0,0.0
9,9.0,16.735120000000002,16.28334375,16.6294043575,-1.0,0.0,766.0,234.0,0.0,0.0
10,10.0,13.951220000000001,17.5678359375,15.1483198753125,-1.0,0.0,669.0,331.0,0.0,0.0
11,11.0,20.558480000000003,15.32634375,19.941087922500003,-1.0,0.0,882.0,118.0,0.0,0.0
12,12.0,7.7232199999999995,24.331898437499998,18.203296094062498,-1.0,0.0,369.0,631.0,0.0,0.0
13,13.0,24.96002,15.0000234375,24.950060003437503,-1.0,0.0,999.0,1.0,0.0,0.0
14,14.0,16.07072,16.536,16.18983168,-1.0,0.0,744.0,256.0,0.0,0.0
15,15.0,15.716479999999999,16.683375,15.97560786,-1.0,0.0,732.0,268.0,0.0,0.0
16,16.0,16.981520000000003,16.19709375,16.804239667500003,-1.0,0.0,774.0,226.0,0.0,0.0
17,17.0,13.897780000000001,17.5989609375,15.1302732521875,-1.0,0.0,667.0,333.0,0.0,0.0
18,18.0,20.452820000000003,15.3431484375,19.8345497409375,-1.0,0.0,879.0,121.0,0.0,0.0
19,19.0,8.42792,23.04834375,16.995488317499998,-1.0,0.0,414.0,586.0,0.0,0.0
20,20.0,24.92008,15.00009375,24.9002400275,-1.0,0.0,998.0,2.0,0.0,0.0
21,21.0,12.03298,18.8823984375,14.8206933040625,-1.0,0.0,593.0,407.0,0.0,0.0
22,22.0,23.316979999999997,15.0433359375,22.9612133053125,-1.0,0.0,957.0,43.0,0.0,0.0
23,23.0,6.752319999999999,26.616,20.73635072,-1.0,0.0,296.0,704.0,0.0,0.0
24,24.0,24.96002,15.0000234375,24.950060003437503,-1.0,0.0,999.0,1.0,0.0,0.0
25,25.0,20.06848,15.408375,19.45334614,-1.0,0.0,868.0,132.0,0.0,0.0
26,26.0,8.02642,23.7497109375,17.6333507628125,-1.0,0.0,389.0,611.0,0.0,0.0
27,27.0,24.88018,15.0002109375,24.850540092812498,-1.0,0.0,997.0,3.0,0.0,0.0
28,28.0,14.996979999999999,17.0120859375,15.5874060396875,-1.0,0.0,707.0,293.0,0.0,0.0
29,29.0,18.480819999999998,15.7509609375,17.9921752278125,-1.0,0.0,821.0,179.0,0.0,0.0
30,30.0,10.161280000000001,20.673375,15.33323074,-1.0,0.0,508.0,492.0,0.0,0.0
31,31.0,24.4045,15.0052734375,24.2635116015625,-1.0,0.0,985.0,15.0,0.0,0.0
32,32.0,8.29672,23.269593750000002,17.190607007500002,-1.0,0.0,406.0,594.0,0.0,0.0
33,33.0,24.76072,15.00084375,24.7021607425,-1.0,0.0,994.0,6.0,0.0,0.0
34,34.0,14.302480000000003,17.37009375,15.2779811725,-1.0,0.0,682.0,318.0,0.0,0.0
35,35.0,19.38208,15.5415,18.79831184,-1.0,0.0,848.0,152.0,0.0,0.0
36,36.0,9.7045,21.2162109375,15.6330311328125,-1.0,0.0,485.0,515.0,0.0,0.0
37,37.0,24.56242,15.0028359375,24.457264575312497,-1.0,0.0,989.0,11.0,0.0,0.0
38,38.0,8.92498,22.271460937500002,16.358969882187502,-1.0,0.0,443.0,557.0,0.0,0.0
39,39.0,24.8005,15.0005859375,24.7515004296875,-1.0,0.0,995.0,5.0,0.0,0.0
40,40.0,10.87528,19.91634375,15.016087197500001,-1.0,0.0,542.0,458.0,0.0,0.0
41,41.0,23.85682,15.0197109375,23.600543837187498,-1.0,0.0,971.0,29.0,0.0,0.0
42,42.0,8.02642,23.7497109375,17.6333507628125,-1.0,0.0,389.0,611.0,0.0,0.0
43,43.0,24.88018,15.0002109375,24.850540092812498,-1.0,0.0,997.0,3.0,0.0,0.0
44,44.0,14.00482,17.5368984375,15.166873805937499,-1.0,0.0,671.0,329.0,0.0,0.0
45,45.0,20.59378,15.3208359375,19.976845544687503,-1.0,0.0,883.0,117.0,0.0,0.0
46,46.0,8.01088,23.778375,17.66058694,-1.0,0.0,388.0,612.0,0.0,0.0
47,47.0,24.88018,15.0002109375,24.850540092812498,-1.0,0.0,997.0,3.0,0.0,0.0
48,48.0,14.031680000000001,17.5215,15.176340960000001,-1.0,0.0,672.0,328.0,0.0,0.0
49,49.0,19.82642,15.4528359375,19.218491815312497,-1.0,0.0,861.0,139.0,0.0,0.0
50,50.0,9.01408,22.1415,16.26041584,-1.0,0.0,448.0,552.0,0.0,0.0
51,51.0,24.8005,15.0005859375,24.7515004296875,-1.0,0.0,995.0,5.0,0.0,0.0
52,52.0,10.962320000000002,19.83084375,14.988629782500002,-1.0,0.0,546.0,454.0,0.0,0.0
53,53.0,24.44392,15.00459375,24.311769432499997,-1.0,0.0,986.0,14.0,0.0,0.0
54,54.0,6.8,26.484375,20.5790625,-1.0,0.0,300.0,700.0,0.0,0.0
55,55.0,24.96002,15.0000234375,24.950060003437503,-1.0,0.0,999.0,1.0,0.0,0.0
56,56.0,20.06848,15.408375,19.45334614,-1.0,0.0,868.0,132.0,0.0,0.0
57,57.0,7.91848,23.95134375,17.8267897975,-1.0,0.0,382.0,618.0,0.0,0.0
58,58.0,24.84032,15.000375,24.800960219999997,-1.0,0.0,996.0,4.0,0.0,0.0
59,59.0,14.799999999999999,17.109375,15.4928125,-1.0,0.0,700.0,300.0,0.0,0.0
60,60.0,18.71168,15.693375,18.19253154,-1.0,0.0,828.0,172.0,0.0,0.0
61,61.0,11.272000000000002,19.5375,14.908820000000002,-1.0,0.0,560.0,440.0,0.0,0.0
62,62.0,23.585919999999998,15.030375,23.277920379999998,-1.0,0.0,964.0,36.0,0.0,0.0
63,63.0,7.25792,25.3335,19.26010512,-1.0,0.0,336.0,664.0,0.0,0.0
64,64.0,25.0,15.0,25.0,-1.0,0.0,1000.0,0.0,0.0,0.0
65,65.0,17.89618,15.9095859375,17.5048209696875,-1.0,0.0,803.0,197.0,0.0,0.0
66,66.0,11.63552,19.2135,14.84858352,-1.0,0.0,576.0,424.0,0.0,0.0
67,67.0,23.20232,15.04959375,22.8272945925,-1.0,0.0,954.0,46.0,0.0,0.0
68,68.0,7.3805,25.0552734375,18.957476601562497,-1.0,0.0,345.0,655.0,0.0,0.0
69,69.0,24.88018,15.0002109375,24.850540092812498,-1.0,0.0,997.0,3.0,0.0,0.0
70,70.0,17.54528,16.014,17.22677376,-1.0,0.0,792.0,208.0,0.0,0.0
71,71.0,12.51538,18.5102109375,14.835379572812501,-1.0,0.0,613.0,387.0,0.0,0.0
72,72.0,22.55938,15.0930234375,22.0889995365625,-1.0,0.0,937.0,63.0,0.0,0.0
73,73.0,6.5680000000000005,27.15,21.387040000000002,-1.0,0.0,280.0,720.0,0.0,0.0
