,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,10.08032,20.766,15.38041728,-1.0,0.0,504.0,496.0,0.0,0.0
1,1.0,25.0,15.0,25.0,-1.0,0.0,1000.0,0.0,0.0,0.0
2,2.0,25.0,15.0,25.0,-1.0,0.0,1000.0,0.0,0.0,0.0
3,3.0,25.0,15.0,25.0,-1.0,0.0,1000.0,0.0,0.0,0.0
4,4.0,13.192,18.0375,14.936380000000002,-1.0,0.0,640.0,360.0,0.0,0.0
5,5.0,18.349779999999996,15.7848984375,17.880406674062495,-1.0,0.0,817.0,183.0,0.0,0.0
6,6.0,14.058580000000001,17.5061484375,15.1859348790625,-1.0,0.0,673.0,327.0,0.0,0.0
7,7.0,18.057280000000002,15.864,17.636170240000002,-1.0,0.0,808.0,192.0,0.0,0.0
8,8.0,13.294720000000002,17.970375,14.959253180000003,-1.0,0.0,644.0,356.0,0.0,0.0
9,9.0,18.744819999999997,15.6853359375,18.2216482253125,-1.0,0.0,829.0,171.0,0.0,0.0
10,10.0,11.612499999999999,19.2333984375,14.8513818359375,-1.0,0.0,575.0,425.0,0.0,0.0
11,11.0,21.48928,15.198375,20.91051674,-1.0,0.0,908.0,92.0,0.0,0.0
12,12.0,7.325620000000001,25.1784609375,19.0906421778125,-1.0,0.0,341.0,659.0,0.0,0.0
13,13.0,24.36512,15.006,24.21537408,-1.0,0.0,984.0,16.0,0.0,0.0
14,14.0,7.9337800000000005,23.9223984375,17.7987575759375,-1.0,0.0,383.0,617.0,0.0,0.0
15,15.0,23.66312,15.02709375,23.3694951075,-1.0,0.0,966.0,34.0,0.0,0.0
16,16.0,10.428820000000002,20.3775234375,15.1942489465625,-1.0,0.0,521.0,479.0,0.0,0.0
17,17.0,19.89538,15.4398984375,19.2849790259375,-1.0,0.0,863.0,137.0,0.0,0.0
18,18.0,15.025279999999999,16.998375,15.601423739999998,-1.0,0.0,708.0,292.0,0.0,0.0
19,19.0,16.552,16.35,16.50352,-1.0,0.0,760.0,240.0,0.0,0.0
20,20.0,16.46098,16.3839609375,16.4422643678125,-1.0,0.0,757.0,243.0,0.0,0.0
21,21.0,16.1005,16.5240234375,16.2084984765625,-1.0,0.0,745.0,255.0,0.0,0.0
22,22.0,16.521620000000002,16.3612734375,16.4829764784375,-1.0,0.0,759.0,241.0,0.0,0.0
23,23.0,16.521620000000002,16.3612734375,16.4829764784375,-1.0,0.0,759.0,241.0,0.0,0.0
24,24.0,16.13032,16.51209375,16.2272905325,-1.0,0.0,746.0,254.0,0.0,0.0
25,25.0,16.1005,16.5240234375,16.2084984765625,-1.0,0.0,745.0,255.0,0.0,0.0
26,26.0,16.4005,16.4068359375,16.402052304687498,-1.0,0.0,755.0,245.0,0.0,0.0
27,27.0,16.34018,16.4298984375,16.3623404540625,-1.0,0.0,753.0,247.0,0.0,0.0
