,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,10.08032,20.766,15.38041728,15.526277346301775,0.0,504.0,496.0,0.0,0.0
1,1.0,19.21298,15.577710937500001,18.6422427571875,16.917850614701702,0.0,843.0,157.0,0.0,0.0
2,2.0,16.34018,16.4298984375,16.3623404540625,13.983267023019264,0.0,753.0,247.0,0.0,0.0
3,3.0,15.833919999999999,16.6335,16.04500912,13.451464647132145,0.0,736.0,264.0,0.0,0.0
4,4.0,14.68832,17.166,15.44153472,12.767039834130596,0.0,696.0,304.0,0.0,0.0
5,5.0,14.411920000000002,17.31084375,15.322182057500003,12.636655790681875,0.0,686.0,314.0,0.0,0.0
6,6.0,13.871120000000001,17.61459375,15.121440232500001,12.179784075148204,0.0,666.0,334.0,0.0,0.0
7,7.0,14.856079999999999,17.08134375,15.519208597499997,12.696238261661636,0.0,702.0,298.0,0.0,0.0
8,8.0,13.502080000000001,17.838375,15.011110660000002,12.078150909532921,0.0,652.0,348.0,0.0,0.0
9,9.0,14.632719999999999,17.19459375,15.416653367499999,12.63084842703887,0.0,694.0,306.0,0.0,0.0
10,10.0,13.39808,17.904,14.98416384,12.049825341424787,0.0,648.0,352.0,0.0,0.0
11,11.0,14.1125,17.4755859375,15.2055029296875,12.317436703721386,0.0,675.0,325.0,0.0,0.0
12,12.0,13.81792,17.646,15.104154880000001,12.29174616599122,0.0,664.0,336.0,0.0,0.0
13,13.0,13.65928,17.74134375,15.0553458025,12.142513084841076,0.0,658.0,342.0,0.0,0.0
14,14.0,14.031680000000001,17.5215,15.176340960000001,12.310262570088144,0.0,672.0,328.0,0.0,0.0
15,15.0,14.220820000000002,17.4150234375,15.246159303437501,12.21299433868382,0.0,679.0,321.0,0.0,0.0
16,16.0,13.03912,18.13959375,14.905893392499998,11.947925553003707,0.0,634.0,366.0,0.0,0.0
17,17.0,14.68832,17.166,15.44153472,12.643041128410632,0.0,696.0,304.0,0.0,0.0
18,18.0,13.03912,18.13959375,14.905893392499998,11.786592087499756,0.0,634.0,366.0,0.0,0.0
19,19.0,14.68832,17.166,15.44153472,12.576020018485778,0.0,696.0,304.0,0.0,0.0
20,20.0,12.91282,18.2259609375,14.8839952878125,11.899667612203054,0.0,629.0,371.0,0.0,0.0
21,21.0,13.76488,17.67759375,15.0873772475,12.288005082418197,0.0,662.0,338.0,0.0,0.0
22,22.0,13.606720000000001,17.7735,15.04009232,12.094902390381078,0.0,656.0,344.0,0.0,0.0
23,23.0,13.978000000000002,17.55234375,15.157533437499998,12.353236545681876,0.0,670.0,330.0,0.0,0.0
24,24.0,13.606720000000001,17.7735,15.04009232,12.159379624613115,0.0,656.0,344.0,0.0,0.0
25,25.0,13.978000000000002,17.55234375,15.157533437499998,12.269770248945395,0.0,670.0,330.0,0.0,0.0
26,26.0,13.450000000000001,17.87109375,14.9973828125,12.018072168883759,0.0,650.0,350.0,0.0,0.0
27,27.0,13.951220000000001,17.5678359375,15.1483198753125,12.10921643827141,0.0,669.0,331.0,0.0,0.0
28,28.0,13.92448,17.583375,15.13923314,12.070679436106003,0.0,668.0,332.0,0.0,0.0
29,29.0,13.37218,17.920523437499998,14.9777452334375,12.14443591869744,0.0,647.0,353.0,0.0,0.0
30,30.0,14.384500000000001,17.3255859375,15.310942070312501,12.417666135912704,0.0,685.0,315.0,0.0,0.0
31,31.0,13.34632,17.93709375,14.971453907499999,12.112017293472435,0.0,646.0,354.0,0.0,0.0
32,32.0,13.738420000000001,17.6934609375,15.0791788778125,12.150358403457462,0.0,661.0,339.0,0.0,0.0
33,33.0,13.738420000000001,17.6934609375,15.0791788778125,12.070800954845586,0.0,661.0,339.0,0.0,0.0
34,34.0,13.897780000000001,17.5989609375,15.1302732521875,12.180496306561903,0.0,667.0,333.0,0.0,0.0
35,35.0,13.897780000000001,17.5989609375,15.1302732521875,12.13357219871793,0.0,667.0,333.0,0.0,0.0
36,36.0,13.79138,17.6617734375,15.0957025884375,12.066938184411452,0.0,663.0,337.0,0.0,0.0
37,37.0,14.031680000000001,17.5215,15.176340960000001,12.138471154937225,0.0,672.0,328.0,0.0,0.0
38,38.0,13.79138,17.6617734375,15.0957025884375,12.119273840601844,0.0,663.0,337.0,0.0,0.0
39,39.0,13.712000000000002,17.709375,15.071107500000002,12.085362272609594,0.0,660.0,340.0,0.0,0.0
40,40.0,13.502080000000001,17.838375,15.011110660000002,11.933560228992267,0.0,652.0,348.0,0.0,0.0
41,41.0,14.058580000000001,17.5061484375,15.1859348790625,12.300179946750088,0.0,673.0,327.0,0.0,0.0
42,42.0,13.897780000000001,17.5989609375,15.1302732521875,12.15150158425951,0.0,667.0,333.0,0.0,0.0
43,43.0,13.65928,17.74134375,15.0553458025,12.063532729893415,0.0,658.0,342.0,0.0,0.0
44,44.0,13.502080000000001,17.838375,15.011110660000002,12.001282595531443,0.0,652.0,348.0,0.0,0.0
45,45.0,13.951220000000001,17.5678359375,15.1483198753125,12.268197284372595,0.0,669.0,331.0,0.0,0.0
46,46.0,13.68562,17.7253359375,15.0631631346875,12.035150414046822,0.0,659.0,341.0,0.0,0.0
47,47.0,14.139520000000001,17.460375,15.21547702,12.3120335168318,0.0,676.0,324.0,0.0,0.0
48,48.0,13.871120000000001,17.61459375,15.121440232500001,12.14274972586233,0.0,666.0,334.0,0.0,0.0
49,49.0,13.8445,17.6302734375,15.112734101562502,12.092673881366643,0.0,665.0,335.0,0.0,0.0
50,50.0,13.632980000000002,17.7573984375,15.0476555240625,11.972543770891612,0.0,657.0,343.0,0.0,0.0
51,51.0,13.978000000000002,17.55234375,15.157533437499998,12.107891587885936,0.0,670.0,330.0,0.0,0.0
52,52.0,13.8445,17.6302734375,15.112734101562502,12.16690999866851,0.0,665.0,335.0,0.0,0.0
53,53.0,14.00482,17.5368984375,15.166873805937499,12.083383262216374,0.0,671.0,329.0,0.0,0.0
54,54.0,13.951220000000001,17.5678359375,15.1483198753125,12.172389948189398,0.0,669.0,331.0,0.0,0.0
55,55.0,13.81792,17.646,15.104154880000001,12.079260153890456,0.0,664.0,336.0,0.0,0.0
56,56.0,13.65928,17.74134375,15.0553458025,12.034770186498147,0.0,658.0,342.0,0.0,0.0
57,57.0,13.68562,17.7253359375,15.0631631346875,12.057964475842558,0.0,659.0,341.0,0.0,0.0
58,58.0,13.5805,17.7896484375,15.032656210937501,11.993831338271034,0.0,655.0,345.0,0.0,0.0
59,59.0,13.712000000000002,17.709375,15.071107500000002,12.003004625242998,0.0,660.0,340.0,0.0,0.0
60,60.0,13.52818,17.8220859375,15.018165360312501,12.04039395544988,0.0,653.0,347.0,0.0,0.0
61,61.0,13.897780000000001,17.5989609375,15.1302732521875,12.2009435888187,0.0,667.0,333.0,0.0,0.0
62,62.0,13.92448,17.583375,15.13923314,12.21081414762243,0.0,668.0,332.0,0.0,0.0
63,63.0,13.52818,17.8220859375,15.018165360312501,12.019360958719085,0.0,653.0,347.0,0.0,0.0
64,64.0,13.712000000000002,17.709375,15.071107500000002,12.160905265359826,0.0,660.0,340.0,0.0,0.0
65,65.0,13.68562,17.7253359375,15.0631631346875,12.148749989499969,0.0,659.0,341.0,0.0,0.0
66,66.0,13.738420000000001,17.6934609375,15.0791788778125,12.08193730600007,0.0,661.0,339.0,0.0,0.0
67,67.0,13.65928,17.74134375,15.0553458025,12.100318984625119,0.0,658.0,342.0,0.0,0.0
68,68.0,13.978000000000002,17.55234375,15.157533437499998,12.175390382087802,0.0,670.0,330.0,0.0,0.0
