,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,10.0,20.859375,15.4296875,15.429714404100702,0.0,500.0,500.0,0.0,0.0
1,1.0,25.0,15.0,25.0,24.97005922930188,0.0,1000.0,0.0,0.0,0.0
2,2.0,24.88018,15.0002109375,24.850540092812498,24.801342698939916,0.0,997.0,3.0,0.0,0.0
3,3.0,22.59688,15.09009375,22.1314592525,21.891070960549204,0.0,938.0,62.0,0.0,0.0
4,4.0,15.42568,16.81134375,15.810894522499998,15.27916071327158,0.0,722.0,278.0,0.0,0.0
5,5.0,17.168,16.134375,16.940602499999997,16.47242077106009,0.0,780.0,220.0,0.0,0.0
6,6.0,13.294720000000002,17.970375,14.959253180000003,14.370164443382968,0.0,644.0,356.0,0.0,0.0
7,7.0,19.72328,15.47259375,19.1196825525,18.73484005728683,0.0,858.0,142.0,0.0,0.0
8,8.0,9.72392,21.192093749999998,15.618561307499998,15.004784909999554,0.0,486.0,514.0,0.0,0.0
9,9.0,23.66312,15.02709375,23.3694951075,23.21397001723418,0.0,966.0,34.0,0.0,0.0
10,10.0,7.422079999999999,24.963375,18.85900434,18.29177264196941,0.0,348.0,652.0,0.0,0.0
11,11.0,22.822719999999997,15.0735,22.388763679999997,22.212588503193345,0.0,944.0,56.0,0.0,0.0
12,12.0,10.202,20.62734375,15.310418437500001,14.654960027029594,0.0,510.0,490.0,0.0,0.0
13,13.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
14,14.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
15,15.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
16,16.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
17,17.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
18,18.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
19,19.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
20,20.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
21,21.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
22,22.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
23,23.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
24,24.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
25,25.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
26,26.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
27,27.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
28,28.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
29,29.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
30,30.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
31,31.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
32,32.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
33,33.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
34,34.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
35,35.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
36,36.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
37,37.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
38,38.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
39,39.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
40,40.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
41,41.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
42,42.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
43,43.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
44,44.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
45,45.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
46,46.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
47,47.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
48,48.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
49,49.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
50,50.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
51,51.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
52,52.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
53,53.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
54,54.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
55,55.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
56,56.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
57,57.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
58,58.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
59,59.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
60,60.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
61,61.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
62,62.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
63,63.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
64,64.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
65,65.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
66,66.0,13.140880000000001,18.07134375,14.9257078775,14.27789522609473,0.0,638.0,362.0,0.0,0.0
