,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,9.64648,21.288843749999998,15.6772244225,-1.0,0.0,482.0,518.0,0.0,0.0
1,1.0,23.05,15.05859375,22.6504296875,-1.0,0.0,950.0,50.0,0.0,0.0
2,2.0,23.126079999999998,15.054,22.73862016,-1.0,0.0,952.0,48.0,0.0,0.0
3,3.0,23.126079999999998,15.054,22.73862016,-1.0,0.0,952.0,48.0,0.0,0.0
4,4.0,23.012019999999996,15.0609609375,22.606515987812497,-1.0,0.0,949.0,51.0,0.0,0.0
5,5.0,5.05832,35.974593750000004,34.3051149675,-1.0,0.0,54.0,946.0,0.0,0.0
6,6.0,23.05,15.05859375,22.6504296875,-1.0,0.0,950.0,50.0,0.0,0.0
7,7.0,22.936179999999997,15.0658359375,22.519051764687497,-1.0,0.0,947.0,53.0,0.0,0.0
8,8.0,23.39362,15.0393984375,23.0510969159375,-1.0,0.0,959.0,41.0,0.0,0.0
9,9.0,5.05202,36.1078359375,34.5239893246875,-1.0,0.0,51.0,949.0,0.0,0.0
10,10.0,22.8605,15.0708984375,22.432071914062497,-1.0,0.0,945.0,55.0,0.0,0.0
11,11.0,23.164179999999998,15.0517734375,22.782896891562498,-1.0,0.0,953.0,47.0,0.0,0.0
12,12.0,23.624499999999998,15.0287109375,23.3236473828125,-1.0,0.0,965.0,35.0,0.0,0.0
13,13.0,5.04802,36.196898437499996,34.670603394062496,-1.0,0.0,49.0,951.0,0.0,0.0
14,14.0,22.97408,15.063375,22.56272334,-1.0,0.0,948.0,52.0,0.0,0.0
15,15.0,23.164179999999998,15.0517734375,22.782896891562498,-1.0,0.0,953.0,47.0,0.0,0.0
16,16.0,23.355279999999997,15.04134375,23.0060946775,-1.0,0.0,958.0,42.0,0.0,0.0
17,17.0,5.05202,36.1078359375,34.5239893246875,-1.0,0.0,51.0,949.0,0.0,0.0
18,18.0,22.40978,15.1052109375,21.920373872812497,-1.0,0.0,933.0,67.0,0.0,0.0
19,19.0,22.671999999999997,15.084375,22.216742499999995,-1.0,0.0,940.0,60.0,0.0,0.0
20,20.0,22.59688,15.09009375,22.1314592525,-1.0,0.0,938.0,62.0,0.0,0.0
21,21.0,5.04608,36.2415,34.74411984,-1.0,0.0,48.0,952.0,0.0,0.0
22,22.0,23.27872,15.045375,22.916452820000003,-1.0,0.0,956.0,44.0,0.0,0.0
23,23.0,22.936179999999997,15.0658359375,22.519051764687497,-1.0,0.0,947.0,53.0,0.0,0.0
24,24.0,22.784979999999997,15.0761484375,22.3455766009375,-1.0,0.0,943.0,57.0,0.0,0.0
25,25.0,5.06272,35.885999999999996,34.15989632,-1.0,0.0,56.0,944.0,0.0,0.0
26,26.0,23.432,15.0375,23.09622,-1.0,0.0,960.0,40.0,0.0,0.0
27,27.0,23.316979999999997,15.0433359375,22.9612133053125,-1.0,0.0,957.0,43.0,0.0,0.0
28,28.0,22.89832,15.06834375,22.475501282499998,-1.0,0.0,946.0,54.0,0.0,0.0
29,29.0,5.05202,36.1078359375,34.5239893246875,-1.0,0.0,51.0,949.0,0.0,0.0
30,30.0,23.355279999999997,15.04134375,23.0060946775,-1.0,0.0,958.0,42.0,0.0,0.0
31,31.0,22.74728,15.07884375,22.3025106975,-1.0,0.0,942.0,58.0,0.0,0.0
32,32.0,23.164179999999998,15.0517734375,22.782896891562498,-1.0,0.0,953.0,47.0,0.0,0.0
33,33.0,5.04418,36.2861484375,34.8177759209375,-1.0,0.0,47.0,953.0,0.0,0.0
34,34.0,22.822719999999997,15.0735,22.388763679999997,-1.0,0.0,944.0,56.0,0.0,0.0
35,35.0,22.97408,15.063375,22.56272334,-1.0,0.0,948.0,52.0,0.0,0.0
36,36.0,22.784979999999997,15.0761484375,22.3455766009375,-1.0,0.0,943.0,57.0,0.0,0.0
37,37.0,5.08192,35.5335,33.584598879999994,-1.0,0.0,64.0,936.0,0.0,0.0
38,38.0,23.088019999999997,15.0562734375,22.694464418437498,-1.0,0.0,951.0,49.0,0.0,0.0
39,39.0,23.05,15.05859375,22.6504296875,-1.0,0.0,950.0,50.0,0.0,0.0
40,40.0,23.20232,15.04959375,22.8272945925,-1.0,0.0,954.0,46.0,0.0,0.0
41,41.0,5.0605,35.93027343749999,34.232435898437494,-1.0,0.0,55.0,945.0,0.0,0.0
