,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,10.04008,20.81259375,15.4047918475,-1.0,0.0,502.0,498.0,0.0,0.0
1,1.0,10.1005,20.7427734375,15.3684253515625,-1.0,0.0,505.0,495.0,0.0,0.0
2,2.0,10.060179999999999,20.7892734375,15.392539438437499,-1.0,0.0,503.0,497.0,0.0,0.0
3,3.0,10.1005,20.7427734375,15.3684253515625,-1.0,0.0,505.0,495.0,0.0,0.0
4,4.0,10.202,20.62734375,15.310418437500001,-1.0,0.0,510.0,490.0,0.0,0.0
5,5.0,10.14098,20.6964609375,15.3448321021875,-1.0,0.0,507.0,493.0,0.0,0.0
6,6.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
7,7.0,10.26338,20.5586484375,15.277175729062499,-1.0,0.0,513.0,487.0,0.0,0.0
8,8.0,10.22242,20.6043984375,15.2992074559375,-1.0,0.0,511.0,489.0,0.0,0.0
9,9.0,10.22242,20.6043984375,15.2992074559375,-1.0,0.0,511.0,489.0,0.0,0.0
10,10.0,10.202,20.62734375,15.310418437500001,-1.0,0.0,510.0,490.0,0.0,0.0
11,11.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
12,12.0,10.3045,20.5130859375,15.255664179687502,-1.0,0.0,515.0,485.0,0.0,0.0
13,13.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
14,14.0,10.24288,20.5815,15.288126559999998,-1.0,0.0,512.0,488.0,0.0,0.0
15,15.0,10.26338,20.5586484375,15.277175729062499,-1.0,0.0,513.0,487.0,0.0,0.0
16,16.0,10.14098,20.6964609375,15.3448321021875,-1.0,0.0,507.0,493.0,0.0,0.0
17,17.0,10.26338,20.5586484375,15.277175729062499,-1.0,0.0,513.0,487.0,0.0,0.0
18,18.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
19,19.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
20,20.0,10.22242,20.6043984375,15.2992074559375,-1.0,0.0,511.0,489.0,0.0,0.0
21,21.0,10.14098,20.6964609375,15.3448321021875,-1.0,0.0,507.0,493.0,0.0,0.0
22,22.0,10.26338,20.5586484375,15.277175729062499,-1.0,0.0,513.0,487.0,0.0,0.0
23,23.0,10.26338,20.5586484375,15.277175729062499,-1.0,0.0,513.0,487.0,0.0,0.0
24,24.0,10.22242,20.6043984375,15.2992074559375,-1.0,0.0,511.0,489.0,0.0,0.0
25,25.0,10.24288,20.5815,15.288126559999998,-1.0,0.0,512.0,488.0,0.0,0.0
26,26.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
27,27.0,10.24288,20.5815,15.288126559999998,-1.0,0.0,512.0,488.0,0.0,0.0
28,28.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
29,29.0,10.32512,20.490375,15.24510342,-1.0,0.0,516.0,484.0,0.0,0.0
30,30.0,10.26338,20.5586484375,15.277175729062499,-1.0,0.0,513.0,487.0,0.0,0.0
31,31.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
32,32.0,10.18162,20.6503359375,15.3217595253125,-1.0,0.0,509.0,491.0,0.0,0.0
33,33.0,10.26338,20.5586484375,15.277175729062499,-1.0,0.0,513.0,487.0,0.0,0.0
34,34.0,10.22242,20.6043984375,15.2992074559375,-1.0,0.0,511.0,489.0,0.0,0.0
35,35.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
36,36.0,10.24288,20.5815,15.288126559999998,-1.0,0.0,512.0,488.0,0.0,0.0
37,37.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
38,38.0,10.24288,20.5815,15.288126559999998,-1.0,0.0,512.0,488.0,0.0,0.0
39,39.0,10.202,20.62734375,15.310418437500001,-1.0,0.0,510.0,490.0,0.0,0.0
40,40.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
41,41.0,10.3045,20.5130859375,15.255664179687502,-1.0,0.0,515.0,485.0,0.0,0.0
42,42.0,10.3045,20.5130859375,15.255664179687502,-1.0,0.0,515.0,485.0,0.0,0.0
43,43.0,10.26338,20.5586484375,15.277175729062499,-1.0,0.0,513.0,487.0,0.0,0.0
44,44.0,10.28392,20.53584375,15.266354942500001,-1.0,0.0,514.0,486.0,0.0,0.0
45,45.0,10.408000000000001,20.4,15.20416,-1.0,0.0,520.0,480.0,0.0,0.0
46,46.0,10.3045,20.5130859375,15.255664179687502,-1.0,0.0,515.0,485.0,0.0,0.0
47,47.0,10.3045,20.5130859375,15.255664179687502,-1.0,0.0,515.0,485.0,0.0,0.0
48,48.0,10.36648,20.44509375,15.2243718275,-1.0,0.0,518.0,482.0,0.0,0.0
49,49.0,10.36648,20.44509375,15.2243718275,-1.0,0.0,518.0,482.0,0.0,0.0
50,50.0,10.36648,20.44509375,15.2243718275,-1.0,0.0,518.0,482.0,0.0,0.0
51,51.0,10.428820000000002,20.3775234375,15.1942489465625,-1.0,0.0,521.0,479.0,0.0,0.0
52,52.0,10.32512,20.490375,15.24510342,-1.0,0.0,516.0,484.0,0.0,0.0
53,53.0,10.32512,20.490375,15.24510342,-1.0,0.0,516.0,484.0,0.0,0.0
54,54.0,10.38722,20.422523437499997,15.214200953437498,-1.0,0.0,519.0,481.0,0.0,0.0
55,55.0,10.428820000000002,20.3775234375,15.1942489465625,-1.0,0.0,521.0,479.0,0.0,0.0
56,56.0,10.47058,20.3327109375,15.1748164571875,-1.0,0.0,523.0,477.0,0.0,0.0
57,57.0,10.408000000000001,20.4,15.20416,-1.0,0.0,520.0,480.0,0.0,0.0
58,58.0,10.533520000000001,20.265843750000002,15.146641457500001,-1.0,0.0,526.0,474.0,0.0,0.0
59,59.0,10.5125,20.2880859375,15.1559033203125,-1.0,0.0,525.0,475.0,0.0,0.0
60,60.0,10.5125,20.2880859375,15.1559033203125,-1.0,0.0,525.0,475.0,0.0,0.0
61,61.0,10.44968,20.35509375,15.1844677725,-1.0,0.0,522.0,478.0,0.0,0.0
62,62.0,10.55458,20.2436484375,15.137509370937499,-1.0,0.0,527.0,473.0,0.0,0.0
63,63.0,10.428820000000002,20.3775234375,15.1942489465625,-1.0,0.0,521.0,479.0,0.0,0.0
64,64.0,10.408000000000001,20.4,15.20416,-1.0,0.0,520.0,480.0,0.0,0.0
65,65.0,10.491520000000001,20.310375,15.16529498,-1.0,0.0,524.0,476.0,0.0,0.0
66,66.0,10.5125,20.2880859375,15.1559033203125,-1.0,0.0,525.0,475.0,0.0,0.0
67,67.0,10.491520000000001,20.310375,15.16529498,-1.0,0.0,524.0,476.0,0.0,0.0
68,68.0,10.47058,20.3327109375,15.1748164571875,-1.0,0.0,523.0,477.0,0.0,0.0
69,69.0,10.44968,20.35509375,15.1844677725,-1.0,0.0,522.0,478.0,0.0,0.0
70,70.0,10.491520000000001,20.310375,15.16529498,-1.0,0.0,524.0,476.0,0.0,0.0
71,71.0,10.408000000000001,20.4,15.20416,-1.0,0.0,520.0,480.0,0.0,0.0
72,72.0,10.57568,20.2215,15.128507039999999,-1.0,0.0,528.0,472.0,0.0,0.0
73,73.0,10.533520000000001,20.265843750000002,15.146641457500001,-1.0,0.0,526.0,474.0,0.0,0.0
74,74.0,10.55458,20.2436484375,15.137509370937499,-1.0,0.0,527.0,473.0,0.0,0.0
75,75.0,10.533520000000001,20.265843750000002,15.146641457500001,-1.0,0.0,526.0,474.0,0.0,0.0
76,76.0,10.491520000000001,20.310375,15.16529498,-1.0,0.0,524.0,476.0,0.0,0.0
77,77.0,10.533520000000001,20.265843750000002,15.146641457500001,-1.0,0.0,526.0,474.0,0.0,0.0
78,78.0,10.5125,20.2880859375,15.1559033203125,-1.0,0.0,525.0,475.0,0.0,0.0
79,79.0,10.618,20.17734375,15.1108915625,-1.0,0.0,530.0,470.0,0.0,0.0
80,80.0,10.70312,20.08959375,15.0772167675,-1.0,0.0,534.0,466.0,0.0,0.0
81,81.0,10.78888,20.00259375,15.045615752499998,-1.0,0.0,538.0,462.0,0.0,0.0
82,82.0,10.724499999999999,20.0677734375,15.069122148437499,-1.0,0.0,535.0,465.0,0.0,0.0
83,83.0,10.745920000000002,20.046,15.06115712,-1.0,0.0,536.0,464.0,0.0,0.0
84,84.0,10.63922,20.1553359375,15.102278374687499,-1.0,0.0,531.0,469.0,0.0,0.0
85,85.0,10.745920000000002,20.046,15.06115712,-1.0,0.0,536.0,464.0,0.0,0.0
86,86.0,10.767380000000001,20.0242734375,15.053321661562501,-1.0,0.0,537.0,463.0,0.0,0.0
